id_page;source;followers;date;interactions;posttype;link;v7;id_article
pg_459;Coronavirus Covid-19 Gruppo di discussione;5563;Tue Nov 17 2020 15:34:52 GMT+0000;1;Facebook;https://www.facebook.com/groups/3028863217125720/permalink/3813413132004054;145;CT_145
pg_459;Coronavirus Covid-19 Gruppo di discussione;5563;Tue Nov 17 2020 13:00:48 GMT+0000;0;Facebook;https://www.facebook.com/groups/3028863217125720/permalink/3813032398708794;151;CT_151
pg_459;Coronavirus Covid-19 Gruppo di discussione;5565;Sun Nov 15 2020 22:24:07 GMT+0000;2;Facebook;https://www.facebook.com/groups/3028863217125720/permalink/3808599072485460;159;CT_159
pg_459;Coronavirus Covid-19 Gruppo di discussione;5496;Wed Nov 11 2020 17:58:42 GMT+0000;1;Facebook;https://www.facebook.com/groups/3028863217125720/permalink/3796192400392794;178;CT_178
pg_46;É??UFO HUNTERSÉ??;60432;Sun Oct 18 2020 13:26:13 GMT+0000;15;Facebook;https://www.facebook.com/groups/253557958093480/permalink/3386041148178463;62;CT_62
pg_46;É??UFO HUNTERSÉ??;60351;Sat Nov 14 2020 10:37:38 GMT+0000;21;Facebook;https://www.facebook.com/groups/253557958093480/permalink/3459809907468253;125;CT_125
pg_460;Coronavirus da il via al Nuovo Ordine Mondiale;3465;Sat Nov 07 2020 21:34:42 GMT+0000;140;Facebook;https://www.facebook.com/Coronavirusdailviaalnuovoordinemondiale/posts/188070332811538;94;CT_94
pg_461;CORONAVIRUS LIBERA INFORMAZIONE #tuttalaverit«ˇ #liberainformazione;315;Wed Sep 30 2020 21:13:07 GMT+0000;2;Facebook;https://www.facebook.com/groups/188956192377061/permalink/336226987649980;14;CT_14
pg_462;Corriere Web;20112;Wed Oct 14 2020 12:09:38 GMT+0000;3;Facebook;https://www.facebook.com/groups/1079645022112508/permalink/3326400194103635;39;CT_39
pg_463;CORSO MAZZINI....;1246;Sat Oct 17 2020 18:22:23 GMT+0000;1;Facebook;https://www.facebook.com/groups/1743000335752544/permalink/3633180313401194;24;CT_24
pg_463;CORSO MAZZINI....;1251;Fri Nov 06 2020 01:16:59 GMT+0000;27;Facebook;https://www.facebook.com/groups/1743000335752544/permalink/3686646854721206;75;CT_75
pg_463;CORSO MAZZINI....;1186;Tue Apr 28 2020 23:56:22 GMT+0000;0;Facebook;https://www.facebook.com/groups/1743000335752544/permalink/3140173642701866;95;CT_95
pg_463;CORSO MAZZINI....;1253;Sat Nov 14 2020 11:00:35 GMT+0000;0;Facebook;https://www.facebook.com/groups/1743000335752544/permalink/3710522429000315;96;CT_96
pg_463;CORSO MAZZINI....;1255;Thu Nov 12 2020 19:32:20 GMT+0000;10;Facebook;https://www.facebook.com/groups/1743000335752544/permalink/3705962116123013;102;CT_102
pg_463;CORSO MAZZINI....;1255;Thu Nov 12 2020 19:28:14 GMT+0000;0;Facebook;https://www.facebook.com/groups/1743000335752544/permalink/3705954192790472;102;CT_102
pg_463;CORSO MAZZINI....;1238;Thu Sep 10 2020 17:53:14 GMT+0000;0;Facebook;https://www.facebook.com/groups/1743000335752544/permalink/3519162244803002;109;CT_109
pg_463;CORSO MAZZINI....;1253;Sun Nov 15 2020 22:23:47 GMT+0000;0;Facebook;https://www.facebook.com/groups/1743000335752544/permalink/3714782705240954;159;CT_159
pg_464;COSA C'E' CHE NON VA!;3176;Wed Apr 29 2020 10:55:05 GMT+0000;10;Facebook;https://www.facebook.com/groups/1465829987056280/permalink/2283191751986762;95;CT_95
pg_465;Cosa stanno facendo sopra le nostre teste?;2339;Wed Aug 05 2020 07:36:22 GMT+0000;3;Facebook;https://www.facebook.com/511763889331748/posts/929008654273934;2;CT_2
pg_465;Cosa stanno facendo sopra le nostre teste?;2336;Wed Oct 21 2020 12:56:16 GMT+0000;26;Facebook;https://www.facebook.com/511763889331748/posts/989655704875895;17;CT_17
